ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008806,Male,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,21474,1134,Security staff,2.0
5008808,Female,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,Sales staff,1.0
5008809,Female,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,Sales staff,1.0
5008810,Female,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,Sales staff,1.0
5008811,Female,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,Sales staff,1.0
5008815,Male,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,16872,769,Accountants,2.0
5112956,Male,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,16872,769,Accountants,2.0
6153651,Male,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,16872,769,Accountants,2.0
5008819,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008820,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008821,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008822,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008823,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008824,Male,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,Laborers,2.0
5008825,Female,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,10669,1103,Accountants,2.0
5008826,Female,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,10669,1103,Accountants,2.0
5008830,Female,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,Laborers,2.0
5008831,Female,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,Laborers,2.0
5008832,Female,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,Laborers,2.0
5008836,Male,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,12689,1163,Laborers,5.0
5008837,Male,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,12689,1163,Laborers,5.0
5008838,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008839,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008840,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008841,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008842,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008843,Male,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,Managers,3.0
5008844,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008846,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008847,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008849,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008850,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008851,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008852,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008853,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
6153733,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
6153734,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
6153735,Male,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,Drivers,2.0
5008854,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008855,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008856,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008857,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008858,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008859,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008860,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008861,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008862,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008863,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008864,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008865,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008866,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008867,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5112846,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
6153736,Female,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,Laborers,4.0
5008868,Female,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,16212,7099,Core staff,3.0
5008870,Female,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,16212,7099,Core staff,3.0
5008872,Male,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16670,5364,Security staff,2.0
6153737,Male,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16670,5364,Security staff,2.0
5008873,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008874,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008875,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008876,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008877,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008878,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008879,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008880,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008881,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008882,Female,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,Managers,4.0
5008888,Female,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,Core staff,1.0
5008889,Female,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,Core staff,1.0
5008890,Female,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,Core staff,1.0
5112847,Female,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,Core staff,1.0
5008891,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008892,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008893,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008894,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008895,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008896,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008897,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008898,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008899,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008900,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008901,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008902,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008903,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008904,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008905,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008906,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008907,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008908,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008909,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008910,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008911,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008912,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008913,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008914,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008915,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008916,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008917,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008918,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008919,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008920,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008921,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008922,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008923,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008924,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008925,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008926,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008927,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008928,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008929,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008930,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008931,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008932,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008933,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008934,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008935,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008936,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008937,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008938,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008939,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008940,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008941,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
6153773,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
6153774,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
6153775,Female,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0
5008942,Female,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,High skill tech staff,2.0
5008943,Female,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,High skill tech staff,2.0
